sigma_mode,attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
certified,alie,ALIE,AG-PTR,0.0,0.7669,0.0,1,0.9722222222222222,
certified,alie,ALIE,AG-PTR,0.1,0.7568,0.0,1,0.8666666666666667,
certified,alie,ALIE,AG-PTR,0.2,0.7414,0.0,1,0.8055555555555556,
certified,alie,ALIE,AG-PTR,0.3,0.7483,0.0,1,0.6555555555555556,
certified,alie,ALIE,AG-PTR,0.4,0.7291,0.0,1,0.4111111111111111,
certified,alie,ALIE,AG-PTR,0.49,0.675,0.0,1,0.1666666666666666,
certified,alie,ALIE,AG-PTR,0.6,0.1503,0.0,1,0.0055555555555555,
certified,foe,FoE,AG-PTR,0.0,0.7669,0.0,1,0.9722222222222222,
certified,foe,FoE,AG-PTR,0.1,0.7536,0.0,1,0.8666666666666667,
certified,foe,FoE,AG-PTR,0.2,0.7397,0.0,1,0.8555555555555555,
certified,foe,FoE,AG-PTR,0.3,0.7311,0.0,1,0.7166666666666667,
certified,foe,FoE,AG-PTR,0.4,0.7471,0.0,1,0.3444444444444444,
certified,foe,FoE,AG-PTR,0.49,0.6185,0.0,1,0.1166666666666666,
certified,foe,FoE,AG-PTR,0.6,0.0427,0.0,1,0.0,
certified,lf,LF,AG-PTR,0.0,0.7669,0.0,1,0.9722222222222222,
certified,lf,LF,AG-PTR,0.1,0.7572,0.0,1,0.9388888888888888,
certified,lf,LF,AG-PTR,0.2,0.7476,0.0,1,0.9111111111111112,
certified,lf,LF,AG-PTR,0.3,0.7379,0.0,1,0.8111111111111111,
certified,lf,LF,AG-PTR,0.4,0.7502,0.0,1,0.6055555555555555,
certified,lf,LF,AG-PTR,0.49,0.7336,0.0,1,0.3222222222222222,
certified,lf,LF,AG-PTR,0.6,0.0926,0.0,1,0.0055555555555555,
certified,minmax,MinMax,AG-PTR,0.0,0.7669,0.0,1,0.9722222222222222,
certified,minmax,MinMax,AG-PTR,0.1,0.7536,0.0,1,0.8666666666666667,
certified,minmax,MinMax,AG-PTR,0.2,0.7253,0.0,1,0.9055555555555556,
certified,minmax,MinMax,AG-PTR,0.3,0.7261,0.0,1,0.8111111111111111,
certified,minmax,MinMax,AG-PTR,0.4,0.7491,0.0,1,0.4333333333333333,
certified,minmax,MinMax,AG-PTR,0.49,0.6185,0.0,1,0.1166666666666666,
certified,minmax,MinMax,AG-PTR,0.6,0.0427,0.0,1,0.0,
certified,minsum,MinSum,AG-PTR,0.0,0.7669,0.0,1,0.9722222222222222,
certified,minsum,MinSum,AG-PTR,0.1,0.7536,0.0,1,0.8666666666666667,
certified,minsum,MinSum,AG-PTR,0.2,0.7361,0.0,1,0.8888888888888888,
certified,minsum,MinSum,AG-PTR,0.3,0.7374,0.0,1,0.7111111111111111,
certified,minsum,MinSum,AG-PTR,0.4,0.7578,0.0,1,0.4666666666666667,
certified,minsum,MinSum,AG-PTR,0.49,0.6185,0.0,1,0.1166666666666666,
certified,minsum,MinSum,AG-PTR,0.6,0.0427,0.0,1,0.0,
certified,sf,SF,AG-PTR,0.0,0.7669,0.0,1,0.9722222222222222,
certified,sf,SF,AG-PTR,0.1,0.7536,0.0,1,0.8666666666666667,
certified,sf,SF,AG-PTR,0.2,0.764,0.0,1,0.8833333333333333,
certified,sf,SF,AG-PTR,0.3,0.7597,0.0,1,0.7055555555555556,
certified,sf,SF,AG-PTR,0.4,0.7357,0.0,1,0.3555555555555555,
certified,sf,SF,AG-PTR,0.49,0.6185,0.0,1,0.1166666666666666,
certified,sf,SF,AG-PTR,0.6,0.0427,0.0,1,0.0,
nominal,alie,ALIE,AG-PTR,0.0,0.7653333333333334,0.0060144270993448155,3,0.9703704444444444,0.01785865860750068
nominal,alie,ALIE,AG-PTR,0.1,0.7387,0.0,1,0.972222,
nominal,alie,ALIE,AG-PTR,0.2,0.7685,0.0,1,0.855556,
nominal,alie,ALIE,AG-PTR,0.3,0.7341,0.0,1,0.572222,
nominal,alie,ALIE,AG-PTR,0.4,0.7181000000000001,0.015620499351813323,3,0.3759258148148148,0.03941461835353391
nominal,alie,ALIE,AG-PTR,0.49,0.6447,0.0,1,0.122222,
nominal,alie,ALIE,AG-PTR,0.6,0.1046,0.0,1,0.005556,
nominal,alie,ALIE,DP-FedAvg,0.0,0.7293666666666666,0.007201620188078076,3,1.0,0.0
nominal,alie,ALIE,DP-FedAvg,0.1,0.6956,0.0,1,,
nominal,alie,ALIE,DP-FedAvg,0.2,0.6337,0.0,1,,
nominal,alie,ALIE,DP-FedAvg,0.3,0.542,0.0,1,,
nominal,alie,ALIE,DP-FedAvg,0.4,0.32093333333333335,0.06022626780179337,3,1.0,0.0
nominal,alie,ALIE,DP-FedAvg,0.49,0.2028,0.0,1,,
nominal,alie,ALIE,DP-FedAvg,0.6,0.1219,0.0,1,,
nominal,alie,ALIE,FedVRDP-style,0.0,0.7628,0.0,1,,
nominal,alie,ALIE,FedVRDP-style,0.1,0.7417,0.0,1,,
nominal,alie,ALIE,FedVRDP-style,0.2,0.7046,0.0,1,,
nominal,alie,ALIE,FedVRDP-style,0.3,0.5828,0.0,1,,
nominal,alie,ALIE,FedVRDP-style,0.4,0.4312,0.0,1,,
nominal,alie,ALIE,FedVRDP-style,0.49,0.2981,0.0,1,,
nominal,alie,ALIE,FedVRDP-style,0.6,0.1256,0.0,1,,
nominal,alie,ALIE,Krum,0.0,0.7265,0.0,1,,
nominal,alie,ALIE,Krum,0.1,0.6997,0.0,1,,
nominal,alie,ALIE,Krum,0.2,0.7096,0.0,1,,
nominal,alie,ALIE,Krum,0.3,0.7214,0.0,1,,
nominal,alie,ALIE,Krum,0.4,0.6128,0.0,1,,
nominal,alie,ALIE,Krum,0.49,0.1002,0.0,1,,
nominal,alie,ALIE,Krum,0.6,0.1,0.0,1,,
nominal,alie,ALIE,Median,0.0,0.7697,0.0,1,,
nominal,alie,ALIE,Median,0.1,0.7455,0.0,1,,
nominal,alie,ALIE,Median,0.2,0.7103,0.0,1,,
nominal,alie,ALIE,Median,0.3,0.6365,0.0,1,,
nominal,alie,ALIE,Median,0.4,0.5209,0.0,1,,
nominal,alie,ALIE,Median,0.49,0.1001,0.0,1,,
nominal,alie,ALIE,Median,0.6,0.1,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.0,0.8003,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.1,0.7794,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.2,0.6452,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.3,0.5032,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.4,0.4411,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.49,0.3344,0.0,1,,
nominal,alie,ALIE,SparseFed-style,0.6,0.1717,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.0,0.8002666666666666,0.013197474505879232,3,1.0,0.0
nominal,alie,ALIE,TrimmedMean,0.1,0.7681,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.2,0.7043,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.3,0.5536,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.4,0.3438666666666667,0.13788782880781514,3,1.0,0.0
nominal,alie,ALIE,TrimmedMean,0.49,0.1001,0.0,1,,
nominal,alie,ALIE,TrimmedMean,0.6,0.1,0.0,1,,
nominal,foe,FoE,AG-PTR,0.0,0.761,0.0,1,0.977778,
nominal,foe,FoE,AG-PTR,0.1,0.7663,0.0,1,0.972222,
nominal,foe,FoE,AG-PTR,0.2,0.7566,0.0,1,0.9,
nominal,foe,FoE,AG-PTR,0.3,0.7645,0.0,1,0.7,
nominal,foe,FoE,AG-PTR,0.4,0.7463,0.0,1,0.383333,
nominal,foe,FoE,AG-PTR,0.49,0.6518,0.0,1,0.127778,
nominal,foe,FoE,AG-PTR,0.6,0.0427,0.0,1,0.0,
nominal,foe,FoE,DP-FedAvg,0.0,0.7238,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.1,0.7202,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.2,0.698,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.3,0.6725,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.4,0.5581,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.49,0.1,0.0,1,,
nominal,foe,FoE,DP-FedAvg,0.6,0.1,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.0,0.7628,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.1,0.7449,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.2,0.7144,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.3,0.6739,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.4,0.5677,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.49,0.1286,0.0,1,,
nominal,foe,FoE,FedVRDP-style,0.6,0.1,0.0,1,,
nominal,foe,FoE,Krum,0.0,0.7265,0.0,1,,
nominal,foe,FoE,Krum,0.1,0.3096,0.0,1,,
nominal,foe,FoE,Krum,0.2,0.7046,0.0,1,,
nominal,foe,FoE,Krum,0.3,0.5339,0.0,1,,
nominal,foe,FoE,Krum,0.4,0.003,0.0,1,,
nominal,foe,FoE,Krum,0.49,0.1,0.0,1,,
nominal,foe,FoE,Krum,0.6,0.1,0.0,1,,
nominal,foe,FoE,Median,0.0,0.7697,0.0,1,,
nominal,foe,FoE,Median,0.1,0.7264,0.0,1,,
nominal,foe,FoE,Median,0.2,0.6676,0.0,1,,
nominal,foe,FoE,Median,0.3,0.4959,0.0,1,,
nominal,foe,FoE,Median,0.4,0.1967,0.0,1,,
nominal,foe,FoE,Median,0.49,0.1477,0.0,1,,
nominal,foe,FoE,Median,0.6,0.1,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.0,0.8003,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.1,0.7911,0.0,1,,
nominal,foe,FoE,SparseFed-style,0.2,0.7815,0.0,1,,
