attack,method,f,acc,accept_rate
ALIE,DP-FedAvg,0.0,0.7119,
ALIE,DP-FedAvg,0.1,0.6681,
ALIE,DP-FedAvg,0.2,0.5578,
ALIE,DP-FedAvg,0.3,0.1793,
ALIE,DP-FedAvg,0.4,0.1763,
ALIE,DP-FedAvg,0.49,0.1194,
ALIE,DP-FedAvg,0.6,0.1113,
ALIE,FedVRDP-style,0.0,0.7419,
ALIE,FedVRDP-style,0.1,0.7313,
ALIE,FedVRDP-style,0.2,0.6416,
ALIE,FedVRDP-style,0.3,0.4243,
ALIE,FedVRDP-style,0.4,0.257,
ALIE,FedVRDP-style,0.49,0.1415,
ALIE,FedVRDP-style,0.6,0.1037,
ALIE,Median,0.0,0.6734,
ALIE,Median,0.1,0.711,
ALIE,Median,0.2,0.6963,
ALIE,Median,0.3,0.522,
ALIE,Median,0.4,0.2669,
ALIE,Median,0.49,0.1002,
ALIE,Median,0.6,0.1,
ALIE,TrimmedMean,0.0,0.789,
ALIE,TrimmedMean,0.1,0.7519,
ALIE,TrimmedMean,0.2,0.6615,
ALIE,TrimmedMean,0.3,0.5164,
ALIE,TrimmedMean,0.4,0.189,
ALIE,TrimmedMean,0.49,0.1002,
ALIE,TrimmedMean,0.6,0.1,
ALIE,Krum,0.0,0.714,
ALIE,Krum,0.1,0.7105,
ALIE,Krum,0.2,0.7049,
ALIE,Krum,0.3,0.6917,
ALIE,Krum,0.4,0.6768,
ALIE,Krum,0.49,0.1,
ALIE,Krum,0.6,0.1,
ALIE,SparseFed-style,0.0,0.7882,
ALIE,SparseFed-style,0.1,0.7688,
ALIE,SparseFed-style,0.2,0.5896,
ALIE,SparseFed-style,0.3,0.5474,
ALIE,SparseFed-style,0.4,0.2679,
ALIE,SparseFed-style,0.49,0.1,
ALIE,SparseFed-style,0.6,0.1,
ALIE,AG-PTR,0.0,0.7461,0.938889
ALIE,AG-PTR,0.1,0.7506,0.888889
ALIE,AG-PTR,0.2,0.7325,0.788889
ALIE,AG-PTR,0.3,0.7078,0.616667
ALIE,AG-PTR,0.4,0.7143,0.338889
ALIE,AG-PTR,0.49,0.6283,0.094444
ALIE,AG-PTR,0.6,0.0434,0.005556
SF,DP-FedAvg,0.0,0.7119,
SF,DP-FedAvg,0.1,0.6472,
SF,DP-FedAvg,0.2,0.5929,
SF,DP-FedAvg,0.3,0.37,
SF,DP-FedAvg,0.4,0.2513,
SF,DP-FedAvg,0.49,0.1,
SF,DP-FedAvg,0.6,0.1,
SF,FedVRDP-style,0.0,0.7419,
SF,FedVRDP-style,0.1,0.3881,
SF,FedVRDP-style,0.2,0.3039,
SF,FedVRDP-style,0.3,0.2207,
SF,FedVRDP-style,0.4,0.0351,
SF,FedVRDP-style,0.49,0.1429,
SF,FedVRDP-style,0.6,0.1,
SF,Median,0.0,0.6734,
SF,Median,0.1,0.6986,
SF,Median,0.2,0.4421,
SF,Median,0.3,0.3076,
SF,Median,0.4,0.2711,
SF,Median,0.49,0.1854,
SF,Median,0.6,0.1,
SF,TrimmedMean,0.0,0.789,
SF,TrimmedMean,0.1,0.704,
SF,TrimmedMean,0.2,0.5017,
SF,TrimmedMean,0.3,0.1949,
SF,TrimmedMean,0.4,0.1783,
SF,TrimmedMean,0.49,0.1817,
SF,TrimmedMean,0.6,0.1,
SF,Krum,0.0,0.714,
SF,Krum,0.1,0.707,
SF,Krum,0.2,0.7049,
SF,Krum,0.3,0.7176,
SF,Krum,0.4,0.7104,
SF,Krum,0.49,0.1,
SF,Krum,0.6,0.1,
SF,SparseFed-style,0.0,0.7882,
SF,SparseFed-style,0.1,0.6237,
SF,SparseFed-style,0.2,0.0864,
SF,SparseFed-style,0.3,0.0997,
SF,SparseFed-style,0.4,0.1754,
SF,SparseFed-style,0.49,0.1901,
