sigma_mode,attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
certified,alie,ALIE,AG-PTR (FedAdam-diag P),0.0,0.7511,0.0,1,0.1944444444444444,
certified,alie,ALIE,AG-PTR (FedAdam-diag P),0.3,0.7316,0.0,1,0.1166666666666666,
certified,alie,ALIE,AG-PTR (FedAdam-diag P),0.49,0.7214,0.0,1,0.0888888888888888,
certified,alie,ALIE,AG-PTR (P=I),0.0,0.1024,0.0,1,0.4111111111111111,
certified,alie,ALIE,AG-PTR (P=I),0.3,0.4318,0.0,1,0.4333333333333333,
certified,alie,ALIE,AG-PTR (P=I),0.49,0.3962,0.0,1,0.0388888888888888,
certified,minmax,MinMax,AG-PTR (FedAdam-diag P),0.0,0.7511,0.0,1,0.1944444444444444,
certified,minmax,MinMax,AG-PTR (FedAdam-diag P),0.3,0.7419,0.0,1,0.2055555555555555,
certified,minmax,MinMax,AG-PTR (FedAdam-diag P),0.49,0.6216,0.0,1,0.05,
certified,minmax,MinMax,AG-PTR (P=I),0.0,0.1024,0.0,1,0.4111111111111111,
certified,minmax,MinMax,AG-PTR (P=I),0.3,0.1448,0.0,1,0.1777777777777777,
certified,minmax,MinMax,AG-PTR (P=I),0.49,0.4353,0.0,1,0.05,
certified,sf,SF,AG-PTR (FedAdam-diag P),0.0,0.7511,0.0,1,0.1944444444444444,
certified,sf,SF,AG-PTR (FedAdam-diag P),0.3,0.7144,0.0,1,0.1611111111111111,
certified,sf,SF,AG-PTR (FedAdam-diag P),0.49,0.6214,0.0,1,0.05,
certified,sf,SF,AG-PTR (P=I),0.0,0.1024,0.0,1,0.4111111111111111,
certified,sf,SF,AG-PTR (P=I),0.3,0.2615,0.0,1,0.2,
certified,sf,SF,AG-PTR (P=I),0.49,0.4793,0.0,1,0.05,
nominal,alie,ALIE,AG-PTR (FedAdam-diag P),0.0,0.7556333333333334,0.0012096831541082468,3,0.3796296296296296,0.025660011963983348
nominal,alie,ALIE,AG-PTR (FedAdam-diag P),0.1,0.7536,0.0,1,0.327778,
nominal,alie,ALIE,AG-PTR (FedAdam-diag P),0.2,0.7347,0.0,1,0.1,
nominal,alie,ALIE,AG-PTR (FedAdam-diag P),0.3,0.7211,0.0,1,0.111111,
nominal,alie,ALIE,AG-PTR (FedAdam-diag P),0.4,0.7161,0.0,1,0.083333,
nominal,alie,ALIE,AG-PTR (FedAdam-diag P),0.49,0.7211,0.0,1,0.088889,
nominal,alie,ALIE,AG-PTR (FedAdam-diag P),0.6,0.3826,0.0,1,0.005556,
nominal,alie,ALIE,AG-PTR (P=I),0.0,0.321,0.22983846501401803,3,0.32407411111111106,0.03941438865345905
