exp,attack,attack_key,method,f,seed,sigma_mode,sigma_dp,sigma_sel,sigma_rel,eps_certified,is_private,sampling,rounds,acc,accept_rate,wall_sec,status,error,source,timestamp
pA,ALIE,alie,DP-FedAvg,0.0,0,certified,0.9723217465539842,,,2.0,True,poisson,180,0.7087,1.0,65.0,ok,,run,2026-09-08T06:21:55
pA,ALIE,alie,FedVRDP-style,0.0,0,certified,0.9723217465539842,,,2.0,True,poisson,180,0.7542,1.0,62.6,ok,,run,2026-09-08T06:22:58
pA,ALIE,alie,Median,0.0,0,certified,0.9723217465539842,,,,False,poisson,180,0.7698,1.0,139.5,ok,,run,2026-09-08T06:25:17
pA,ALIE,alie,TrimmedMean,0.0,0,certified,0.9723217465539842,,,,False,poisson,180,0.805,1.0,86.9,ok,,run,2026-09-08T06:26:44
pA,ALIE,alie,Krum,0.0,0,certified,0.9723217465539842,,,,False,poisson,180,0.712,1.0,94.5,ok,,run,2026-09-08T06:28:19
pA,ALIE,alie,SparseFed-style,0.0,0,certified,0.9723217465539842,,,,False,poisson,180,0.8037,1.0,103.1,ok,,run,2026-09-08T06:30:02
pA,ALIE,alie,AG-PTR,0.0,0,certified,0.9723217465539842,2.1741775212960315,1.0870887606480155,1.999999999999996,True,poisson,180,0.7728,0.9444444444444444,92.9,ok,,run,2026-09-08T06:31:35
pA,ALIE,alie,DP-FedAvg,0.1,0,certified,0.9723217465539842,,,2.0,True,poisson,180,0.6986,1.0,60.8,ok,,run,2026-09-08T06:32:36
pA,ALIE,alie,FedVRDP-style,0.1,0,certified,0.9723217465539842,,,2.0,True,poisson,180,0.7351,1.0,58.5,ok,,run,2026-09-08T06:33:34
pA,ALIE,alie,Median,0.1,0,certified,0.9723217465539842,,,,False,poisson,180,0.7507,1.0,142.8,ok,,run,2026-09-08T06:35:57
pA,ALIE,alie,TrimmedMean,0.1,0,certified,0.9723217465539842,,,,False,poisson,180,0.769,1.0,164.4,ok,,run,2026-09-08T06:38:41
pA,ALIE,alie,Krum,0.1,0,certified,0.9723217465539842,,,,False,poisson,180,0.7037,1.0,91.4,ok,,run,2026-09-08T06:40:13
pA,ALIE,alie,SparseFed-style,0.1,0,certified,0.9723217465539842,,,,False,poisson,180,0.7748,1.0,96.5,ok,,run,2026-09-08T06:41:49
