exp,attack,attack_key,method,f,seed,sigma_mode,sigma_dp,sigma_sel,sigma_rel,eps_certified,is_private,sampling,rounds,acc,accept_rate,wall_sec,status,error,source,timestamp
pA,ALIE,alie,FLTrust,0.0,0,certified,0.9723217465539842,,,,False,poisson,180,0.0827,,65.2,ok,,run,2026-09-08T13:20:14
pA,ALIE,alie,FLTrust,0.1,0,certified,0.9723217465539842,,,,False,poisson,180,0.8253,,63.0,ok,,run,2026-09-08T13:23:51
pA,ALIE,alie,FLTrust,0.2,0,certified,0.9723217465539842,,,,False,poisson,180,0.8191,,56.9,ok,,run,2026-09-08T13:27:10
pA,ALIE,alie,FLTrust,0.3,0,certified,0.9723217465539842,,,,False,poisson,180,0.8075,,51.1,ok,,run,2026-09-08T13:30:10
pA,ALIE,alie,FLTrust,0.4,0,certified,0.9723217465539842,,,,False,poisson,180,0.8013,,46.3,ok,,run,2026-09-08T13:32:56
pA,ALIE,alie,FLTrust,0.49,0,certified,0.9723217465539842,,,,False,poisson,180,0.7975,,40.8,ok,,run,2026-09-08T13:35:28
pA,ALIE,alie,FLTrust,0.6,0,certified,0.9723217465539842,,,,False,poisson,180,0.801,,35.4,ok,,run,2026-09-08T13:37:45
pA,SF,sf,FLTrust,0.0,0,certified,0.9723217465539842,,,,False,poisson,180,0.0827,,66.4,ok,,run,2026-09-08T13:41:33
pA,SF,sf,FLTrust,0.1,0,certified,0.9723217465539842,,,,False,poisson,180,0.82,,61.9,ok,,run,2026-09-08T13:45:08
pA,SF,sf,FLTrust,0.2,0,certified,0.9723217465539842,,,,False,poisson,180,0.1,,56.2,ok,,run,2026-09-08T13:48:25
pA,SF,sf,FLTrust,0.3,0,certified,0.9723217465539842,,,,False,poisson,180,0.8258,,51.3,ok,,run,2026-09-08T13:51:29
pA,SF,sf,FLTrust,0.4,0,certified,0.9723217465539842,,,,False,poisson,180,0.7777,,45.5,ok,,run,2026-09-08T13:54:13
pA,SF,sf,FLTrust,0.49,0,certified,0.9723217465539842,,,,False,poisson,180,0.7943,,39.9,ok,,run,2026-09-08T13:56:43
