attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
alie,ALIE,AG-PTR,0.0,0.7605,0.012300000000000005,3,0.9,0.04746668747398626
alie,ALIE,AG-PTR,0.1,0.7507,0.0,1,0.9055555555555556,
alie,ALIE,AG-PTR,0.2,0.7253,0.0,1,0.8222222222222222,
alie,ALIE,AG-PTR,0.3,0.7631,0.0,1,0.6166666666666667,
alie,ALIE,AG-PTR,0.4,0.7144666666666666,0.02360812007198657,3,0.3314814814814815,0.05564807111598785
alie,ALIE,AG-PTR,0.49,0.6962,0.0,1,0.1722222222222222,
alie,ALIE,AG-PTR,0.6,0.1468,0.0,1,0.0055555555555555,
alie,ALIE,AG-PTR (pub=50),0.0,0.7513,0.0,1,0.8944444444444445,
alie,ALIE,AG-PTR (pub=50),0.3,0.7588,0.0,1,0.4666666666666667,
alie,ALIE,AG-PTR (pub=50),0.4,0.7018,0.0,1,0.2944444444444444,
alie,ALIE,AG-PTR (pub=800),0.0,0.7686,0.0,1,0.9722222222222222,
alie,ALIE,AG-PTR (pub=800),0.3,0.7549,0.0,1,0.7833333333333333,
alie,ALIE,AG-PTR (pub=800),0.4,0.7099,0.0,1,0.4,
alie,ALIE,AnchoredClip-NoGate,0.0,0.8007,0.0,1,1.0,
alie,ALIE,AnchoredClip-NoGate,0.1,0.7718,0.0,1,1.0,
alie,ALIE,AnchoredClip-NoGate,0.2,0.7159,0.0,1,1.0,
alie,ALIE,AnchoredClip-NoGate,0.3,0.6255,0.0,1,1.0,
alie,ALIE,AnchoredClip-NoGate,0.4,0.4925,0.0,1,1.0,
alie,ALIE,AnchoredClip-NoGate,0.49,0.4,0.0,1,1.0,
alie,ALIE,AnchoredClip-NoGate,0.6,0.1183,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.0,0.7213666666666666,0.01240859916885596,3,1.0,0.0
alie,ALIE,DP-FedAvg,0.1,0.6986,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.2,0.635,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.3,0.5307,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.4,0.34746666666666665,0.04594130313055273,3,1.0,0.0
alie,ALIE,DP-FedAvg,0.49,0.1659,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.6,0.1148,0.0,1,1.0,
alie,ALIE,DP-FedAvg+Public,0.0,0.7193,0.0,1,,
alie,ALIE,DP-FedAvg+Public,0.1,0.7046,0.0,1,,
alie,ALIE,DP-FedAvg+Public,0.2,0.651,0.0,1,,
alie,ALIE,DP-FedAvg+Public,0.3,0.6315,0.0,1,,
alie,ALIE,DP-FedAvg+Public,0.4,0.5408,0.0,1,,
alie,ALIE,DP-FedAvg+Public,0.49,0.1852,0.0,1,,
alie,ALIE,DP-FedAvg+Public,0.6,0.1381,0.0,1,,
alie,ALIE,FLTrust,0.0,0.7505,0.0,1,,
alie,ALIE,FLTrust,0.1,0.7478,0.0,1,,
alie,ALIE,FLTrust,0.2,0.7485,0.0,1,,
alie,ALIE,FLTrust,0.3,0.7481,0.0,1,,
alie,ALIE,FLTrust,0.4,0.7483,0.0,1,,
