attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
alie,ALIE,AG-PTR,0.0,0.7712,0.0,1,0.9166666666666666,
alie,ALIE,AG-PTR,0.1,0.761,0.0,1,0.9,
alie,ALIE,AG-PTR,0.2,0.7373,0.0,1,0.7333333333333333,
alie,ALIE,AG-PTR,0.3,0.7424,0.0,1,0.5722222222222222,
alie,ALIE,AG-PTR,0.4,0.7155,0.0,1,0.3277777777777778,
alie,ALIE,AG-PTR,0.49,0.6157,0.0,1,0.0888888888888888,
alie,ALIE,AG-PTR,0.6,0.1438,0.0,1,0.0055555555555555,
alie,ALIE,DP-FedAvg,0.0,0.6882,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.1,0.6806,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.2,0.57,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.3,0.3544,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.4,0.1757,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.49,0.1151,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.6,0.0927,0.0,1,1.0,
alie,ALIE,FedVRDP,0.0,0.7776,0.0,1,1.0,
alie,ALIE,FedVRDP,0.1,0.7368,0.0,1,1.0,
alie,ALIE,FedVRDP,0.2,0.6566,0.0,1,1.0,
alie,ALIE,FedVRDP,0.3,0.5029,0.0,1,1.0,
alie,ALIE,FedVRDP,0.4,0.1105,0.0,1,1.0,
alie,ALIE,FedVRDP,0.49,0.1,0.0,1,1.0,
alie,ALIE,FedVRDP,0.6,0.1,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.0,0.7541,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.1,0.7247,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.2,0.6246,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.3,0.3123,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.4,0.1722,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.49,0.1179,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.6,0.1032,0.0,1,1.0,
alie,ALIE,Krum,0.0,0.7123,0.0,1,1.0,
alie,ALIE,Krum,0.1,0.712,0.0,1,1.0,
alie,ALIE,Krum,0.2,0.6965,0.0,1,1.0,
alie,ALIE,Krum,0.3,0.702,0.0,1,1.0,
alie,ALIE,Krum,0.4,0.717,0.0,1,1.0,
alie,ALIE,Krum,0.49,0.1,0.0,1,1.0,
alie,ALIE,Krum,0.6,0.1,0.0,1,1.0,
alie,ALIE,Median,0.0,0.7415,0.0,1,1.0,
alie,ALIE,Median,0.1,0.6971,0.0,1,1.0,
alie,ALIE,Median,0.2,0.6902,0.0,1,1.0,
alie,ALIE,Median,0.3,0.6407,0.0,1,1.0,
alie,ALIE,Median,0.4,0.3134,0.0,1,1.0,
alie,ALIE,Median,0.49,0.1003,0.0,1,1.0,
alie,ALIE,Median,0.6,0.1,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.0,0.8003,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.1,0.7559,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.2,0.6557,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.3,0.5251,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.4,0.308,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.49,0.1,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.6,0.1,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.0,0.8045,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.1,0.7277,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.2,0.6832,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.3,0.5544,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.4,0.1653,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.49,0.1002,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.6,0.1,0.0,1,1.0,
foe,FoE,AG-PTR,0.0,0.7712,0.0,1,0.9166666666666666,
foe,FoE,AG-PTR,0.1,0.7468,0.0,1,0.85,
foe,FoE,AG-PTR,0.2,0.7087,0.0,1,0.6722222222222223,
foe,FoE,AG-PTR,0.3,0.6895,0.0,1,0.5333333333333333,
foe,FoE,AG-PTR,0.4,0.693,0.0,1,0.2888888888888888,
foe,FoE,AG-PTR,0.49,0.5758,0.0,1,0.0722222222222222,
foe,FoE,AG-PTR,0.6,0.0427,0.0,1,0.0,
foe,FoE,DP-FedAvg,0.0,0.6882,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.1,0.6755,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.2,0.6591,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.3,0.6335,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.4,0.378,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.49,0.1,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.6,0.1,0.0,1,1.0,
foe,FoE,FedVRDP,0.0,0.7776,0.0,1,1.0,
foe,FoE,FedVRDP,0.1,0.7496,0.0,1,1.0,
foe,FoE,FedVRDP,0.2,0.719,0.0,1,1.0,
