exp,attack,attack_key,method,f,seed,sigma_mode,sigma_dp,sigma_sel,sigma_rel,eps_certified,is_private,sampling,rounds,acc,accept_rate,wall_sec,status,error,source,timestamp
pC,ALIE,alie,DP-FedAvg,0.0,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.2824,1.0,68.7,ok,,run,2026-09-09T00:33:47
pC,ALIE,alie,FedVRDP-style,0.0,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.335,1.0,66.5,ok,,run,2026-09-09T00:34:54
pC,ALIE,alie,Median,0.0,0,certified,1.0338019195458117,,,,False,poisson,180,0.4423,1.0,179.8,ok,,run,2026-09-09T00:37:54
pC,ALIE,alie,TrimmedMean,0.0,0,certified,1.0338019195458117,,,,False,poisson,180,0.4795,1.0,102.4,ok,,run,2026-09-09T00:39:36
pC,ALIE,alie,Krum,0.0,0,certified,1.0338019195458117,,,,False,poisson,180,0.3497,1.0,110.7,ok,,run,2026-09-09T00:41:27
pC,ALIE,alie,SparseFed-style,0.0,0,certified,1.0338019195458117,,,,False,poisson,180,0.4678,1.0,111.4,ok,,run,2026-09-09T00:43:18
pC,ALIE,alie,AG-PTR,0.0,0,certified,1.0338019195458117,2.3116513673742034,1.1558256836871017,1.9999999999999976,True,poisson,180,0.3873,0.85,102.3,ok,,run,2026-09-09T00:45:00
pC,ALIE,alie,DP-FedAvg,0.1,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1573,1.0,64.6,ok,,run,2026-09-09T00:46:05
pC,ALIE,alie,FedVRDP-style,0.1,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.212,1.0,62.8,ok,,run,2026-09-09T00:47:08
pC,ALIE,alie,Median,0.1,0,certified,1.0338019195458117,,,,False,poisson,180,0.3652,1.0,174.5,ok,,run,2026-09-09T00:50:02
pC,ALIE,alie,TrimmedMean,0.1,0,certified,1.0338019195458117,,,,False,poisson,180,0.3475,1.0,191.4,ok,,run,2026-09-09T00:53:14
pC,ALIE,alie,Krum,0.1,0,certified,1.0338019195458117,,,,False,poisson,180,0.3519,1.0,105.8,ok,,run,2026-09-09T00:55:00
pC,ALIE,alie,SparseFed-style,0.1,0,certified,1.0338019195458117,,,,False,poisson,180,0.3558,1.0,114.8,ok,,run,2026-09-09T00:56:55
pC,ALIE,alie,AG-PTR,0.1,0,certified,1.0338019195458117,2.3116513673742034,1.1558256836871017,1.9999999999999976,True,poisson,180,0.3588,0.95,98.2,ok,,run,2026-09-09T00:58:33
pC,ALIE,alie,DP-FedAvg,0.2,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1188,1.0,59.4,ok,,run,2026-09-09T00:59:32
pC,ALIE,alie,FedVRDP-style,0.2,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1187,1.0,57.0,ok,,run,2026-09-09T01:00:29
pC,ALIE,alie,Median,0.2,0,certified,1.0338019195458117,,,,False,poisson,180,0.2289,1.0,140.0,ok,,run,2026-09-09T01:02:49
pC,ALIE,alie,TrimmedMean,0.2,0,certified,1.0338019195458117,,,,False,poisson,180,0.1634,1.0,150.3,ok,,run,2026-09-09T01:05:20
pC,ALIE,alie,Krum,0.2,0,certified,1.0338019195458117,,,,False,poisson,180,0.362,1.0,83.0,ok,,run,2026-09-09T01:06:43
pC,ALIE,alie,SparseFed-style,0.2,0,certified,1.0338019195458117,,,,False,poisson,180,0.1767,1.0,107.6,ok,,run,2026-09-09T01:08:30
pC,ALIE,alie,AG-PTR,0.2,0,certified,1.0338019195458117,2.3116513673742034,1.1558256836871017,1.9999999999999976,True,poisson,180,0.3329,0.7111111111111111,88.5,ok,,run,2026-09-09T01:09:59
pC,ALIE,alie,DP-FedAvg,0.3,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1006,1.0,52.7,ok,,run,2026-09-09T01:10:52
pC,ALIE,alie,FedVRDP-style,0.3,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.0992,1.0,49.3,ok,,run,2026-09-09T01:11:41
pC,ALIE,alie,Median,0.3,0,certified,1.0338019195458117,,,,False,poisson,180,0.1,1.0,127.2,ok,,run,2026-09-09T01:13:48
