attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
alie,ALIE,AG-PTR,0.0,0.3873,0.0,1,0.85,
alie,ALIE,AG-PTR,0.1,0.3588,0.0,1,0.95,
alie,ALIE,AG-PTR,0.2,0.3329,0.0,1,0.7111111111111111,
alie,ALIE,AG-PTR,0.3,0.3017,0.0,1,0.4111111111111111,
alie,ALIE,AG-PTR,0.4,0.2696,0.0,1,0.2055555555555555,
alie,ALIE,AG-PTR,0.49,0.1029,0.0,1,0.0055555555555555,
alie,ALIE,AG-PTR,0.6,0.0999,0.0,1,0.0055555555555555,
alie,ALIE,DP-FedAvg,0.0,0.2824,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.1,0.1573,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.2,0.1188,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.3,0.1006,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.4,0.0953,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.49,0.0964,0.0,1,1.0,
alie,ALIE,DP-FedAvg,0.6,0.0955,0.0,1,1.0,
alie,ALIE,FedVRDP,0.0,0.3741,0.0,1,1.0,
alie,ALIE,FedVRDP,0.1,0.2562,0.0,1,1.0,
alie,ALIE,FedVRDP,0.2,0.0976,0.0,1,1.0,
alie,ALIE,FedVRDP,0.3,0.1044,0.0,1,1.0,
alie,ALIE,FedVRDP,0.4,0.1103,0.0,1,1.0,
alie,ALIE,FedVRDP,0.49,0.0999,0.0,1,1.0,
alie,ALIE,FedVRDP,0.6,0.1,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.0,0.335,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.1,0.212,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.2,0.1187,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.3,0.0992,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.4,0.1027,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.49,0.0995,0.0,1,1.0,
alie,ALIE,FedVRDP-style,0.6,0.1,0.0,1,1.0,
alie,ALIE,Krum,0.0,0.3497,0.0,1,1.0,
alie,ALIE,Krum,0.1,0.3519,0.0,1,1.0,
alie,ALIE,Krum,0.2,0.362,0.0,1,1.0,
alie,ALIE,Krum,0.3,0.3445,0.0,1,1.0,
alie,ALIE,Krum,0.4,0.1,0.0,1,1.0,
alie,ALIE,Krum,0.49,0.1,0.0,1,1.0,
alie,ALIE,Krum,0.6,0.1,0.0,1,1.0,
alie,ALIE,Median,0.0,0.4423,0.0,1,1.0,
alie,ALIE,Median,0.1,0.3652,0.0,1,1.0,
alie,ALIE,Median,0.2,0.2289,0.0,1,1.0,
alie,ALIE,Median,0.3,0.1,0.0,1,1.0,
alie,ALIE,Median,0.4,0.1001,0.0,1,1.0,
alie,ALIE,Median,0.49,0.1,0.0,1,1.0,
alie,ALIE,Median,0.6,0.1,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.0,0.4678,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.1,0.3558,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.2,0.1767,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.3,0.1,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.4,0.1,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.49,0.1,0.0,1,1.0,
alie,ALIE,SparseFed-style,0.6,0.1,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.0,0.4795,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.1,0.3475,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.2,0.1634,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.3,0.1,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.4,0.1,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.49,0.1,0.0,1,1.0,
alie,ALIE,TrimmedMean,0.6,0.1,0.0,1,1.0,
foe,FoE,AG-PTR,0.0,0.3873,0.0,1,0.85,
foe,FoE,AG-PTR,0.1,0.3605,0.0,1,0.8277777777777777,
foe,FoE,AG-PTR,0.2,0.348,0.0,1,0.8277777777777777,
foe,FoE,AG-PTR,0.3,0.3379,0.0,1,0.6888888888888889,
foe,FoE,AG-PTR,0.4,0.2407,0.0,1,0.1666666666666666,
foe,FoE,AG-PTR,0.49,0.1066,0.0,1,0.0,
foe,FoE,AG-PTR,0.6,0.1066,0.0,1,0.0,
foe,FoE,DP-FedAvg,0.0,0.2824,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.1,0.2572,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.2,0.2357,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.3,0.2082,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.4,0.1752,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.49,0.1,0.0,1,1.0,
foe,FoE,DP-FedAvg,0.6,0.1,0.0,1,1.0,
foe,FoE,FedVRDP,0.0,0.3741,0.0,1,1.0,
foe,FoE,FedVRDP,0.1,0.3452,0.0,1,1.0,
foe,FoE,FedVRDP,0.2,0.3118,0.0,1,1.0,
foe,FoE,FedVRDP,0.3,0.2664,0.0,1,1.0,
foe,FoE,FedVRDP,0.4,0.1902,0.0,1,1.0,
foe,FoE,FedVRDP,0.49,0.1317,0.0,1,1.0,
foe,FoE,FedVRDP,0.6,0.1,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.0,0.335,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.1,0.304,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.2,0.2635,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.3,0.2274,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.4,0.1779,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.49,0.0989,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.6,0.1,0.0,1,1.0,
foe,FoE,Krum,0.0,0.3497,0.0,1,1.0,
foe,FoE,Krum,0.1,0.0974,0.0,1,1.0,
foe,FoE,Krum,0.2,0.22,0.0,1,1.0,
foe,FoE,Krum,0.3,0.2142,0.0,1,1.0,
foe,FoE,Krum,0.4,0.0566,0.0,1,1.0,
foe,FoE,Krum,0.49,0.1,0.0,1,1.0,
foe,FoE,Krum,0.6,0.1,0.0,1,1.0,
foe,FoE,Median,0.0,0.4423,0.0,1,1.0,
foe,FoE,Median,0.1,0.3514,0.0,1,1.0,
foe,FoE,Median,0.2,0.1773,0.0,1,1.0,
foe,FoE,Median,0.3,0.1295,0.0,1,1.0,
foe,FoE,Median,0.4,0.1657,0.0,1,1.0,
foe,FoE,Median,0.49,0.1618,0.0,1,1.0,
foe,FoE,Median,0.6,0.1,0.0,1,1.0,
foe,FoE,SparseFed-style,0.0,0.4678,0.0,1,1.0,
foe,FoE,SparseFed-style,0.1,0.4419,0.0,1,1.0,
foe,FoE,SparseFed-style,0.2,0.4103,0.0,1,1.0,
foe,FoE,SparseFed-style,0.3,0.36,0.0,1,1.0,
foe,FoE,SparseFed-style,0.4,0.2824,0.0,1,1.0,
foe,FoE,SparseFed-style,0.49,0.1674,0.0,1,1.0,
foe,FoE,SparseFed-style,0.6,0.1,0.0,1,1.0,
foe,FoE,TrimmedMean,0.0,0.4795,0.0,1,1.0,
foe,FoE,TrimmedMean,0.1,0.4298,0.0,1,1.0,
foe,FoE,TrimmedMean,0.2,0.3318,0.0,1,1.0,
foe,FoE,TrimmedMean,0.3,0.1361,0.0,1,1.0,
foe,FoE,TrimmedMean,0.4,0.1589,0.0,1,1.0,
foe,FoE,TrimmedMean,0.49,0.1406,0.0,1,1.0,
foe,FoE,TrimmedMean,0.6,0.1,0.0,1,1.0,
lf,LF,AG-PTR,0.0,0.3873,0.0,1,0.85,
lf,LF,AG-PTR,0.1,0.3586,0.0,1,0.9111111111111112,
lf,LF,AG-PTR,0.2,0.3439,0.0,1,0.9055555555555556,
lf,LF,AG-PTR,0.3,0.3262,0.0,1,0.95,
lf,LF,AG-PTR,0.4,0.2853,0.0,1,0.9388888888888888,
lf,LF,AG-PTR,0.49,0.2795,0.0,1,0.7944444444444444,
lf,LF,AG-PTR,0.6,0.2297,0.0,1,0.7166666666666667,
lf,LF,DP-FedAvg,0.0,0.2824,0.0,1,1.0,
lf,LF,DP-FedAvg,0.1,0.2462,0.0,1,1.0,
lf,LF,DP-FedAvg,0.2,0.2235,0.0,1,1.0,
lf,LF,DP-FedAvg,0.3,0.2035,0.0,1,1.0,
lf,LF,DP-FedAvg,0.4,0.1873,0.0,1,1.0,
lf,LF,DP-FedAvg,0.49,0.1736,0.0,1,1.0,
lf,LF,DP-FedAvg,0.6,0.1633,0.0,1,1.0,
lf,LF,FedVRDP,0.0,0.3741,0.0,1,1.0,
lf,LF,FedVRDP,0.1,0.3421,0.0,1,1.0,
lf,LF,FedVRDP,0.2,0.3284,0.0,1,1.0,
lf,LF,FedVRDP,0.3,0.2971,0.0,1,1.0,
lf,LF,FedVRDP,0.4,0.2427,0.0,1,1.0,
lf,LF,FedVRDP,0.49,0.2215,0.0,1,1.0,
lf,LF,FedVRDP,0.6,0.1746,0.0,1,1.0,
lf,LF,FedVRDP-style,0.0,0.335,0.0,1,1.0,
lf,LF,FedVRDP-style,0.1,0.3175,0.0,1,1.0,
lf,LF,FedVRDP-style,0.2,0.2821,0.0,1,1.0,
lf,LF,FedVRDP-style,0.3,0.2491,0.0,1,1.0,
lf,LF,FedVRDP-style,0.4,0.213,0.0,1,1.0,
lf,LF,FedVRDP-style,0.49,0.1775,0.0,1,1.0,
lf,LF,FedVRDP-style,0.6,0.1364,0.0,1,1.0,
lf,LF,Krum,0.0,0.3497,0.0,1,1.0,
lf,LF,Krum,0.1,0.3484,0.0,1,1.0,
lf,LF,Krum,0.2,0.3228,0.0,1,1.0,
lf,LF,Krum,0.3,0.3056,0.0,1,1.0,
lf,LF,Krum,0.4,0.2591,0.0,1,1.0,
lf,LF,Krum,0.49,0.2143,0.0,1,1.0,
lf,LF,Krum,0.6,0.0972,0.0,1,1.0,
lf,LF,Median,0.0,0.4423,0.0,1,1.0,
lf,LF,Median,0.1,0.4264,0.0,1,1.0,
lf,LF,Median,0.2,0.4036,0.0,1,1.0,
lf,LF,Median,0.3,0.3728,0.0,1,1.0,
lf,LF,Median,0.4,0.334,0.0,1,1.0,
lf,LF,Median,0.49,0.2556,0.0,1,1.0,
lf,LF,Median,0.6,0.1653,0.0,1,1.0,
lf,LF,SparseFed-style,0.0,0.4678,0.0,1,1.0,
lf,LF,SparseFed-style,0.1,0.4461,0.0,1,1.0,
lf,LF,SparseFed-style,0.2,0.4277,0.0,1,1.0,
lf,LF,SparseFed-style,0.3,0.4007,0.0,1,1.0,
lf,LF,SparseFed-style,0.4,0.3512,0.0,1,1.0,
lf,LF,SparseFed-style,0.49,0.2643,0.0,1,1.0,
lf,LF,SparseFed-style,0.6,0.1566,0.0,1,1.0,
lf,LF,TrimmedMean,0.0,0.4795,0.0,1,1.0,
lf,LF,TrimmedMean,0.1,0.4452,0.0,1,1.0,
lf,LF,TrimmedMean,0.2,0.41,0.0,1,1.0,
lf,LF,TrimmedMean,0.3,0.3767,0.0,1,1.0,
lf,LF,TrimmedMean,0.4,0.3312,0.0,1,1.0,
lf,LF,TrimmedMean,0.49,0.2578,0.0,1,1.0,
lf,LF,TrimmedMean,0.6,0.1696,0.0,1,1.0,
minmax,MinMax,AG-PTR,0.0,0.3873,0.0,1,0.85,
minmax,MinMax,AG-PTR,0.1,0.3628,0.0,1,0.9055555555555556,
minmax,MinMax,AG-PTR,0.2,0.3664,0.0,1,0.8611111111111112,
minmax,MinMax,AG-PTR,0.3,0.3379,0.0,1,0.6888888888888889,
minmax,MinMax,AG-PTR,0.4,0.2407,0.0,1,0.1666666666666666,
minmax,MinMax,AG-PTR,0.49,0.1066,0.0,1,0.0,
minmax,MinMax,AG-PTR,0.6,0.1066,0.0,1,0.0,
minmax,MinMax,DP-FedAvg,0.0,0.2824,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.1,0.2097,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.2,0.1439,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.3,0.1423,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.4,0.0825,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.49,0.1243,0.0,1,1.0,
minmax,MinMax,DP-FedAvg,0.6,0.0785,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.0,0.3741,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.1,0.2373,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.2,0.1698,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.3,0.1935,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.4,0.1456,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.49,0.1547,0.0,1,1.0,
minmax,MinMax,FedVRDP,0.6,0.1876,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.0,0.335,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.1,0.2169,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.2,0.1394,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.3,0.1365,0.0,1,1.0,
minmax,MinMax,FedVRDP-style,0.4,0.1741,0.0,1,1.0,
