attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
alie,ALIE,AG-PTR (FedAdam-diag P),0.0,0.7485666666666667,0.00976541516441233,3,0.2740740740740741,0.03255258487267953
alie,ALIE,AG-PTR (FedAdam-diag P),0.3,0.7267,0.0,1,0.0888888888888888,
alie,ALIE,AG-PTR (FedAdam-diag P),0.49,0.726,0.0,1,0.0944444444444444,
alie,ALIE,AG-PTR (FedAdam-scalar P),0.0,0.7571,0.0,1,0.3166666666666666,
alie,ALIE,AG-PTR (FedAdam-scalar P),0.3,0.7292,0.0,1,0.0888888888888888,
alie,ALIE,AG-PTR (FedAdam-scalar P),0.49,0.7277,0.0,1,0.0944444444444444,
alie,ALIE,AG-PTR (P=I),0.0,0.5888,0.03331861341652743,3,0.39074074074074067,0.17500734846417426
alie,ALIE,AG-PTR (P=I),0.3,0.3808,0.0,1,0.1777777777777777,
alie,ALIE,AG-PTR (P=I),0.49,0.3492,0.0,1,0.0555555555555555,
alie,ALIE,DP-FedAvg (FedAdam),0.0,0.101,0.0,1,1.0,
alie,ALIE,DP-FedAvg (FedAdam),0.3,0.1188,0.0,1,1.0,
alie,ALIE,DP-FedAvg (FedAdam),0.49,0.101,0.0,1,1.0,
alie,ALIE,FedVRDP (FedAdam),0.0,0.4851,0.0,1,1.0,
alie,ALIE,FedVRDP (FedAdam),0.3,0.1887,0.0,1,1.0,
alie,ALIE,FedVRDP (FedAdam),0.49,0.0938,0.0,1,1.0,
alie,ALIE,FedVRDP-style (FedAdam),0.0,0.5181,0.0,1,1.0,
alie,ALIE,FedVRDP-style (FedAdam),0.3,0.1737,0.0,1,1.0,
alie,ALIE,FedVRDP-style (FedAdam),0.49,0.1113,0.0,1,1.0,
alie,ALIE,Krum (FedAdam),0.0,0.5276,0.0,1,1.0,
alie,ALIE,Krum (FedAdam),0.3,0.1017,0.0,1,1.0,
alie,ALIE,Krum (FedAdam),0.49,0.1,0.0,1,1.0,
alie,ALIE,Median (FedAdam),0.0,0.7704,0.0,1,1.0,
alie,ALIE,Median (FedAdam),0.3,0.1585,0.0,1,1.0,
alie,ALIE,Median (FedAdam),0.49,0.1,0.0,1,1.0,
alie,ALIE,SparseFed-style (FedAdam),0.0,0.8748,0.0,1,1.0,
alie,ALIE,SparseFed-style (FedAdam),0.3,0.1,0.0,1,1.0,
alie,ALIE,SparseFed-style (FedAdam),0.49,0.1,0.0,1,1.0,
alie,ALIE,TrimmedMean (FedAdam),0.0,0.8544,0.0,1,1.0,
alie,ALIE,TrimmedMean (FedAdam),0.3,0.1,0.0,1,1.0,
alie,ALIE,TrimmedMean (FedAdam),0.49,0.1,0.0,1,1.0,
minmax,MinMax,AG-PTR (FedAdam-diag P),0.0,0.7538,0.0,1,0.3111111111111111,
minmax,MinMax,AG-PTR (FedAdam-diag P),0.3,0.749,0.0,1,0.1833333333333333,
minmax,MinMax,AG-PTR (FedAdam-diag P),0.49,0.6632,0.0,1,0.05,
minmax,MinMax,AG-PTR (FedAdam-scalar P),0.0,0.7571,0.0,1,0.3166666666666666,
minmax,MinMax,AG-PTR (FedAdam-scalar P),0.3,0.7368,0.0,1,0.1444444444444444,
minmax,MinMax,AG-PTR (FedAdam-scalar P),0.49,0.663,0.0,1,0.05,
minmax,MinMax,AG-PTR (P=I),0.0,0.5989,0.0,1,0.5666666666666667,
minmax,MinMax,AG-PTR (P=I),0.3,0.5666,0.0,1,0.1277777777777777,
minmax,MinMax,AG-PTR (P=I),0.49,0.3896,0.0,1,0.05,
minmax,MinMax,DP-FedAvg (FedAdam),0.0,0.101,0.0,1,1.0,
minmax,MinMax,DP-FedAvg (FedAdam),0.3,0.4167,0.0,1,1.0,
minmax,MinMax,DP-FedAvg (FedAdam),0.49,0.0923,0.0,1,1.0,
minmax,MinMax,FedVRDP (FedAdam),0.0,0.4851,0.0,1,1.0,
minmax,MinMax,FedVRDP (FedAdam),0.3,0.3969,0.0,1,1.0,
minmax,MinMax,FedVRDP (FedAdam),0.49,0.2748,0.0,1,1.0,
minmax,MinMax,FedVRDP-style (FedAdam),0.0,0.5181,0.0,1,1.0,
minmax,MinMax,FedVRDP-style (FedAdam),0.3,0.4244,0.0,1,1.0,
minmax,MinMax,FedVRDP-style (FedAdam),0.49,0.2052,0.0,1,1.0,
minmax,MinMax,Krum (FedAdam),0.0,0.5276,0.0,1,1.0,
minmax,MinMax,Krum (FedAdam),0.3,0.1,0.0,1,1.0,
minmax,MinMax,Krum (FedAdam),0.49,0.1,0.0,1,1.0,
minmax,MinMax,Median (FedAdam),0.0,0.7704,0.0,1,1.0,
