Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.0,0.7087,1.0
Fashion-MNIST-IID,ALIE,Median,0.0,0.7698,1.0
Fashion-MNIST-IID,ALIE,TrimmedMean,0.0,0.805,1.0
Fashion-MNIST-IID,ALIE,Krum,0.0,0.712,1.0
Fashion-MNIST-IID,ALIE,SparseFed-style,0.0,0.8037,1.0
Fashion-MNIST-IID,ALIE,AG-PTR,0.0,0.7728,0.9444444444444444
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.1,0.6986,1.0
Fashion-MNIST-IID,ALIE,Median,0.1,0.7507,1.0
Fashion-MNIST-IID,ALIE,TrimmedMean,0.1,0.769,1.0
Fashion-MNIST-IID,ALIE,Krum,0.1,0.7037,1.0
Fashion-MNIST-IID,ALIE,SparseFed-style,0.1,0.7748,1.0
Fashion-MNIST-IID,ALIE,AG-PTR,0.1,0.7507,0.9055555555555556
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.2,0.635,1.0
Fashion-MNIST-IID,ALIE,Median,0.2,0.7259,1.0
Fashion-MNIST-IID,ALIE,TrimmedMean,0.2,0.7079,1.0
Fashion-MNIST-IID,ALIE,Krum,0.2,0.7058,1.0
Fashion-MNIST-IID,ALIE,SparseFed-style,0.2,0.7017,1.0
Fashion-MNIST-IID,ALIE,AG-PTR,0.2,0.7253,0.8222222222222222
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.3,0.5307,1.0
Fashion-MNIST-IID,ALIE,Median,0.3,0.576,1.0
Fashion-MNIST-IID,ALIE,TrimmedMean,0.3,0.4873,1.0
Fashion-MNIST-IID,ALIE,Krum,0.3,0.7279,1.0
Fashion-MNIST-IID,ALIE,SparseFed-style,0.3,0.4072,1.0
Fashion-MNIST-IID,ALIE,AG-PTR,0.3,0.7631,0.6166666666666667
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.4,0.3261,1.0
Fashion-MNIST-IID,ALIE,Median,0.4,0.5561,1.0
Fashion-MNIST-IID,ALIE,TrimmedMean,0.4,0.4915,1.0
Fashion-MNIST-IID,ALIE,Krum,0.4,0.6562,1.0
Fashion-MNIST-IID,ALIE,SparseFed-style,0.4,0.4883,1.0
Fashion-MNIST-IID,ALIE,AG-PTR,0.4,0.7327,0.3888888888888889
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.49,0.1659,1.0
Fashion-MNIST-IID,ALIE,Median,0.49,0.1002,1.0
Fashion-MNIST-IID,ALIE,TrimmedMean,0.49,0.1,1.0
Fashion-MNIST-IID,ALIE,Krum,0.49,0.1,1.0
Fashion-MNIST-IID,ALIE,SparseFed-style,0.49,0.3422,1.0
Fashion-MNIST-IID,ALIE,AG-PTR,0.49,0.6962,0.1722222222222222
Fashion-MNIST-IID,ALIE,DP-FedAvg,0.6,0.1148,1.0
Fashion-MNIST-IID,ALIE,Median,0.6,0.1,1.0
Fashion-MNIST-IID,ALIE,TrimmedMean,0.6,0.1,1.0
Fashion-MNIST-IID,ALIE,Krum,0.6,0.1,1.0
Fashion-MNIST-IID,ALIE,SparseFed-style,0.6,0.1963,1.0
Fashion-MNIST-IID,ALIE,AG-PTR,0.6,0.1468,0.0055555555555555
Fashion-MNIST-IID,SF,DP-FedAvg,0.0,0.7087,1.0
Fashion-MNIST-IID,SF,Median,0.0,0.7698,1.0
Fashion-MNIST-IID,SF,TrimmedMean,0.0,0.805,1.0
Fashion-MNIST-IID,SF,Krum,0.0,0.712,1.0
Fashion-MNIST-IID,SF,SparseFed-style,0.0,0.8037,1.0
Fashion-MNIST-IID,SF,AG-PTR,0.0,0.7728,0.9444444444444444
Fashion-MNIST-IID,SF,DP-FedAvg,0.1,0.616,1.0
Fashion-MNIST-IID,SF,Median,0.1,0.7326,1.0
Fashion-MNIST-IID,SF,TrimmedMean,0.1,0.7329,1.0
Fashion-MNIST-IID,SF,Krum,0.1,0.7037,1.0
Fashion-MNIST-IID,SF,SparseFed-style,0.1,0.6724,1.0
Fashion-MNIST-IID,SF,AG-PTR,0.1,0.7605,0.9388888888888888
Fashion-MNIST-IID,SF,DP-FedAvg,0.2,0.4955,1.0
Fashion-MNIST-IID,SF,Median,0.2,0.6818,1.0
Fashion-MNIST-IID,SF,TrimmedMean,0.2,0.619,1.0
Fashion-MNIST-IID,SF,Krum,0.2,0.7058,1.0
Fashion-MNIST-IID,SF,SparseFed-style,0.2,0.1086,1.0
Fashion-MNIST-IID,SF,AG-PTR,0.2,0.7408,0.8555555555555555
Fashion-MNIST-IID,SF,DP-FedAvg,0.3,0.4183,1.0
Fashion-MNIST-IID,SF,Median,0.3,0.516,1.0
Fashion-MNIST-IID,SF,TrimmedMean,0.3,0.5653,1.0
Fashion-MNIST-IID,SF,Krum,0.3,0.7279,1.0
Fashion-MNIST-IID,SF,SparseFed-style,0.3,0.0142,1.0
Fashion-MNIST-IID,SF,AG-PTR,0.3,0.7629,0.6333333333333333
Fashion-MNIST-IID,SF,DP-FedAvg,0.4,0.2268,1.0
Fashion-MNIST-IID,SF,Median,0.4,0.2022,1.0
Fashion-MNIST-IID,SF,TrimmedMean,0.4,0.1961,1.0
Fashion-MNIST-IID,SF,Krum,0.4,0.727,1.0
Fashion-MNIST-IID,SF,SparseFed-style,0.4,0.0274,1.0
Fashion-MNIST-IID,SF,AG-PTR,0.4,0.7382,0.3333333333333333
Fashion-MNIST-IID,SF,DP-FedAvg,0.49,0.1007,1.0
Fashion-MNIST-IID,SF,Median,0.49,0.2366,1.0
Fashion-MNIST-IID,SF,TrimmedMean,0.49,0.131,1.0
Fashion-MNIST-IID,SF,Krum,0.49,0.1,1.0
Fashion-MNIST-IID,SF,SparseFed-style,0.49,0.1933,1.0
Fashion-MNIST-IID,SF,AG-PTR,0.49,0.6524,0.1333333333333333
Fashion-MNIST-IID,SF,DP-FedAvg,0.6,0.1,1.0
Fashion-MNIST-IID,SF,Median,0.6,0.1,1.0
Fashion-MNIST-IID,SF,TrimmedMean,0.6,0.1,1.0
Fashion-MNIST-IID,SF,Krum,0.6,0.1,1.0
Fashion-MNIST-IID,SF,SparseFed-style,0.6,0.1,1.0
Fashion-MNIST-IID,SF,AG-PTR,0.6,0.0427,0.0
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.0,0.7087,1.0
Fashion-MNIST-IID,MinMax,Median,0.0,0.7698,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.0,0.805,1.0
Fashion-MNIST-IID,MinMax,Krum,0.0,0.712,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.0,0.8037,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.0,0.7728,0.9444444444444444
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.1,0.6498,1.0
Fashion-MNIST-IID,MinMax,Median,0.1,0.7326,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.1,0.7291,1.0
Fashion-MNIST-IID,MinMax,Krum,0.1,0.7114,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.1,0.7476,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.1,0.7605,0.9388888888888888
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.2,0.603,1.0
Fashion-MNIST-IID,MinMax,Median,0.2,0.6818,1.0
Fashion-MNIST-IID,MinMax,TrimmedMean,0.2,0.681,1.0
Fashion-MNIST-IID,MinMax,Krum,0.2,0.7071,1.0
Fashion-MNIST-IID,MinMax,SparseFed-style,0.2,0.7183,1.0
Fashion-MNIST-IID,MinMax,AG-PTR,0.2,0.7584,0.8611111111111112
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.3,0.5183,1.0
Fashion-MNIST-IID,MinMax,Median,0.3,0.516,1.0
